LA_Name,LSOA_Code,LA_Code,Service_users_LSOA,GP_PT_walk_mins,GP_PT_15mins_perc
Blackburn with Darwen,E01012571,E06000008,456.824722290039,5.86892771426941,100
Blackburn with Darwen,E01012572,E06000008,521.799758911133,7.45593867258169,100
Blackburn with Darwen,E01012573,E06000008,483.814346313477,4.05392568698176,100
Blackburn with Darwen,E01012574,E06000008,562.784027099609,6.52026637309023,100
Blackburn with Darwen,E01012575,E06000008,545.790580749512,3.93131871226073,100
Blackburn with Darwen,E01012576,E06000008,568.78173828125,3.450948987596,100
Blackburn with Darwen,E01012577,E06000008,515.802070617676,5.80792643337809,100
Blackburn with Darwen,E01012578,E06000008,527.797458648682,4.52954540897217,100
Blackburn with Darwen,E01012579,E06000008,541.792098999023,6.90335790336434,100
Blackburn with Darwen,E01012580,E06000008,536.793991088867,3.87318424533807,100
Blackburn with Darwen,E01012581,E06000008,494.810127258301,21.686647045414,0
Blackburn with Darwen,E01012582,E06000008,524.798614501953,15.6198093556747,23.8095249171624
Blackburn with Darwen,E01012583,E06000008,642.75333404541,15.3992531385519,39.3468132650238
Blackburn with Darwen,E01012584,E06000008,520.800148010254,11.8719194023126,100
Blackburn with Darwen,E01012585,E06000008,465.821250915527,5.85718872846251,100
Blackburn with Darwen,E01012586,E06000008,489.812034606934,4.70422441963526,100
Blackburn with Darwen,E01012587,E06000008,660.746467590332,9.43527992621529,100
Blackburn with Darwen,E01012588,E06000008,616.763320922852,5.62220414724989,100
Blackburn with Darwen,E01012589,E06000008,652.749519348145,3.630719798809,100
Blackburn with Darwen,E01012590,E06000008,629.758346557617,9.28117438089311,100
Blackburn with Darwen,E01012591,E06000008,665.744522094727,11.6676574964718,100
Blackburn with Darwen,E01012592,E06000008,825.683143615723,22.8634262785888,0
Blackburn with Darwen,E01012593,E06000008,741.715377807617,6.76129377048497,100
Blackburn with Darwen,E01012594,E06000008,625.759880065918,12.7167092749253,100
Blackburn with Darwen,E01012595,E06000008,859.670097351074,9.20556989672355,100
Blackburn with Darwen,E01012596,E06000008,793.695434570313,10.6177077869439,100
Blackburn with Darwen,E01012597,E06000008,678.739547729492,17.1734751565741,21.3549338916132
Blackburn with Darwen,E01012598,E06000008,1049.59722900391,12.9950762428956,100
Blackburn with Darwen,E01012599,E06000008,497.808967590332,12.6525300290432,100
Blackburn with Darwen,E01012600,E06000008,634.75643157959,10.242425412937,100
Blackburn with Darwen,E01012601,E06000008,592.772521972656,7.74785836738267,100
Blackburn with Darwen,E01012602,E06000008,650.750289916992,14.1555452420323,65.7450080802961
Blackburn with Darwen,E01012603,E06000008,648.75106048584,5.96613261413641,100
Blackburn with Darwen,E01012604,E06000008,598.770233154297,9.3071284613147,100
Blackburn with Darwen,E01012605,E06000008,577.778282165527,3.72695500591143,100
Blackburn with Darwen,E01012606,E06000008,482.814727783203,5.44749475587816,100
Blackburn with Darwen,E01012607,E06000008,639.754501342773,11.6600626494633,100
Blackburn with Darwen,E01012608,E06000008,730.719589233398,7.1300956611113,100
Blackburn with Darwen,E01012609,E06000008,653.749137878418,17.2226293817807,17.8899075341838
Blackburn with Darwen,E01012610,E06000008,505.805885314941,18.4479650120242,0
Blackburn with Darwen,E01012611,E06000008,481.815116882324,17.6510580565686,59.3361010371233
Blackburn with Darwen,E01012612,E06000008,624.76025390625,14.811151933978,59.1999987885978
Blackburn with Darwen,E01012613,E06000008,557.785926818848,15.4346775261163,31.7204307031816
Blackburn with Darwen,E01012614,E06000008,672.741844177246,16.8366269720066,15.3046069434014
Blackburn with Darwen,E01012615,E06000008,747.713073730469,9.96118990147303,100
Blackburn with Darwen,E01012616,E06000008,760.708084106445,16.2028775203799,36.2680692220537
Blackburn with Darwen,E01012617,E06000008,601.769073486328,12.5003489011389,100
Blackburn with Darwen,E01012618,E06000008,646.751815795898,10.0470480207724,100
Blackburn with Darwen,E01012619,E06000008,553.78751373291,8.19126363414108,100
Blackburn with Darwen,E01012620,E06000008,638.7548828125,10.5297181405329,100
Blackburn with Darwen,E01012621,E06000008,624.760261535645,7.50907190980942,100
