service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8666,0,0,0,0,0,0,1,20251221,20260921
8672,0,0,0,0,0,0,1,20251228,20260928
9353,0,0,0,0,0,1,0,20251130,20260830
9362,0,0,0,0,0,0,1,20251130,20260830
9363,0,0,0,0,1,0,0,20251130,20260830
11081,0,0,0,0,0,0,1,20251221,20260921
11082,0,0,0,0,0,1,0,20251221,20260921
11084,1,1,1,1,1,0,0,20251130,20260830
11086,0,0,0,0,0,1,0,20251130,20260830
11221,1,1,1,1,0,0,0,20251130,20260830
11277,0,0,0,0,0,0,1,20251130,20260830
13190,0,0,0,0,0,0,1,20251221,20260921
15432,0,0,0,0,0,1,0,20251107,20251223
16167,1,1,1,1,1,0,0,20251107,20260807
16209,1,1,1,1,1,0,0,20251107,20251129
16486,0,0,0,0,1,1,0,20251107,20260807
18330,1,1,1,1,0,0,0,20251107,20251220
18331,0,0,0,0,1,0,0,20251107,20251220
18658,0,1,0,1,0,0,0,20251107,20260807
19705,1,1,1,1,1,0,0,20251123,20260119
19706,0,0,0,0,0,0,1,20251123,20260119
19707,0,0,0,0,0,1,0,20251123,20260119
19712,0,0,0,0,0,1,0,20251107,20251122
19713,1,1,1,1,1,0,0,20251107,20251122
19714,0,0,0,0,0,0,1,20251107,20251122
19917,1,1,1,1,1,0,0,20251107,20260725
20212,0,0,0,0,0,1,0,20251107,20260807
20213,0,0,0,0,0,1,0,20251107,20260807
20237,0,0,0,0,0,1,0,20251107,20260619
20238,1,1,1,1,1,0,0,20251107,20260619
20257,1,1,1,1,1,0,0,20251107,20260726
20258,0,0,0,0,0,1,0,20251107,20260726
20259,0,0,0,0,0,0,1,20251107,20260726
20496,1,1,1,1,1,0,0,20251107,20260717
21082,0,0,0,1,1,0,0,20251107,20260807
21302,0,0,0,0,0,0,1,20260104,20260201
21303,1,1,1,1,1,0,0,20260104,20260201
21304,0,0,0,0,0,1,0,20260104,20260201
21307,1,1,1,1,1,0,0,20251107,20251130
21308,0,0,0,0,0,1,0,20251107,20251130
21309,0,0,0,0,0,0,1,20251107,20251130
21327,0,0,0,0,0,1,0,20251201,20251224
21328,0,0,0,0,0,0,1,20251201,20251224
21329,1,1,1,1,1,0,0,20251201,20251224
21332,0,0,0,0,0,1,0,20251226,20260103
21333,1,1,0,0,1,0,0,20251226,20260103
21334,0,0,0,0,0,0,1,20251226,20260103
21338,0,0,0,0,0,1,0,20260202,20260405
21339,0,0,0,0,0,0,1,20260202,20260405
21340,1,1,1,1,1,0,0,20260202,20260405
21343,1,1,1,1,1,0,0,20251107,20260807
