stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,location_type,parent_station,platform_code
2800S11005B,meradjpw,"Johns Avenue",53.469,-2.65718,0,0,,
090010034310,cumdtdgd,"Stainton Drive",54.147067529595176,-3.18452548662748,0,0,,
1800WA18861,MANPDMJA,"Egerton Vale",53.62937,-2.44102,0,0,,
1800STIN0G1,,"Stockport Interchange",53.408909,-2.163436,0,0,180GSTIN,G
2500IMG2186,langajam,"Tedder Avenue",53.791709185,-2.276351826,0,0,,
2800S46053B,merdpgap,"Clock Tower Drive",53.45218,-2.96427,0,0,,
2800S24009B,merapgwd,"Mortuary Road",53.42469,-3.04374,0,0,,
1800WK06251,MANPTPAT,"Ashdale Avenue",53.520485,-2.647823,0,0,,
0610VR033,CHWAJTD,"Langford Road",53.2730031,-2.4631466,0,0,,
250060003,lanawpjd,"Ribby Hall Entrance",53.779994213,-2.898669376,0,0,,
2800S48012E,mergmpmw,"East Mill Wood Road",53.34535,-2.829,0,0,,
0610CH1378,CHWMAJG,"Parkgate Road",53.2088112,-2.9061497,0,0,,
2580HBK0011,blagpja,"St Wilfrids School",53.742235691,-2.492916094,0,0,,
079073001Z,mbradma,"Bus Station Express Lounge",54.575998,-1.239184,0,0,,
069000011820,wrgdpwd,"Padgate Railway Station",53.406286772,-2.55701268,0,0,,
1800NF31321,MANGMWDJ,"Nursery Street",53.49192,-2.291534,0,0,,
25001239,lanajdag,"Mount Pleasant",53.892553224,-2.355060675,0,0,,
940GZZMAMKT,,"Market Street (Manchester Metrolink)",53.48192108543,-2.23875536461,0,1,,
1800NEH2851,,"Laburnum Way",53.64514,-2.111644,0,0,,
1800WA18211,MANPDJPT,"Heaton Road",53.571,-2.493262,0,0,,
2500LA00026,langmwdt,"Hospital Stop 3",53.666444977,-2.636309588,0,0,,
2500LAA15738,lanjtdgd,"Methodist Church",53.787690794,-2.215415673,0,0,,
0610VR17914,CHWPTDA,"Kingsway",53.190304,-2.5138438,0,0,,
1800SG19141,MANJGAJA,"George & Dragon",53.39514,-2.213441,0,0,,
2800S30002B,merawgaw,"Thingwall Road",53.35131,-3.11894,0,0,,
3800C801401,stagjmgm,"Woodland Street",53.107485841,-2.174205459,0,0,,
1800WK35371,MANTATMJ,"Buck Street",53.49223,-2.52135,0,0,,
1800WK23701,MANPWTJD,"Woodfield School",53.563429,-2.631189,0,0,,
1800WK23451,MANPWTAG,"Norbreck Crescent",53.556087,-2.648881,0,0,,
0600MA0195,CHEMJMW,"Sandiway",53.302991,-2.364403,0,0,,
2500IMG607,langjtdm,"Lime Grove",53.871072707,-3.006170891,0,0,,
1800SJ10661,MANJPTJP,"The Springs",53.37764,-2.367836,0,0,,
090079360921,cumdjmga,"Jenkin Rise",54.33267661948469,-2.7333060715396913,0,0,,
1800WK07251,MANPTWTD,"Thicknesse Avenue",53.559336,-2.655324,0,0,,
2800S41122A,merdgmpm,"Back Canning Street",53.39901,-2.96862,0,0,,
090079061864,cumdgpgp,"Primary School",54.207789491369766,-2.7702957256769714,0,0,,
069000014203,wrgjmdp,"Railway Cottages",53.384877248,-2.68771519,0,0,,
090002491791,cumagmpd,"Bus Shelter",54.8903567853809,-3.362353487389378,0,0,,
1800WA17391,MANPDGDM,"Birch Tree Way",53.5887,-2.522458,0,0,,
1800EH41511,MANDGPJT,"St Anne's Road",53.45585,-2.101101,0,0,,
090002050615,cumdmwdg,"Ravenstone Hotel",54.65778559663743,-3.1869683072884296,0,0,,
1800EH44171,MANDGTWD,"Forrest Road",53.44654,-2.095658,0,0,,
1800SB33491,MANGWDMA,"Mersey Bank Avenue",53.420721,-2.259724,0,0,,
1800SB04591,MANGPJAD,"The Red Beret",53.36983,-2.264008,0,0,,
1800NEH5021,,"Scarfield Drive",53.622969,-2.209586,0,0,,
9400ZZMAPIC2,mantpjdt,"Piccadilly (Manchester Metrolink)",53.4770112836,-2.23068199204,0,0,940GZZMAPIC,
2800S40031C,merawtmw,"Sprucewood Close",53.42433,-2.95387,0,0,,
2800S60022A,mergdgjw,"Park Avenue",53.65618,-2.98432,0,0,,
2590B0524,blpagmaw,"Arnold Avenue",53.78942414,-3.038156603,0,0,,
1800WK37771,MANTDJTA,"Lee Lane",53.51315,-2.595767,0,0,,
2800S54013A,mergamta,"Wellington Street",53.47673,-3.03141,0,0,,
2590B0190,blpadmtp,"Halford Place",53.863565821,-3.028100576,0,0,,
1800WA00271,MANJWDGT,"Aldred Street",53.55971,-2.456959,0,0,,
2500IMG2558,langdjpd,"Cowley Crescent",53.796170143,-2.297650009,0,0,,
090050300139,cumawjmd,"Whittington Cat",54.547923233471636,-3.5881731712284894,0,0,,
2800S47048A,merdpwdt,"Captains Lane",53.47358,-2.97812,0,0,,
1800ED12561,MANAMTWJ,"Horest Lane",53.58437,-2.048042,0,0,,
250013858,lanamgad,"Caxton Road",53.797577591,-2.692447731,0,0,,
090079613247,cumdmgad,"Settlebeck School",54.3234514267731,-2.521536963732154,0,0,,
1800NC07481,MANDPDAM,"Church Road",53.65737,-2.303464,0,0,,
5120AWF80567,flidpjw,"Elwy Close",53.171971986,-3.106338087,0,0,,
0600CR285,CHEJPDT,"The Crescent",53.06952,-2.515389,0,0,,
2500LA00252,langpjgp,"Ferndale",53.55493756,-2.769613905,0,0,,
1800NE26851,MANGDAJA,"Seascale Walk",53.55667,-2.207008,0,0,,
069000011460,wrgdjmw,"Northway",53.40890493,-2.593797221,0,0,,
2500LAA07590,lanjpmjm,"Holy Trinity Church",53.531773695,-2.838487538,0,0,,
2590B0183,blpadmpt,"Ingthorpe Avenue",53.852485868,-3.03667662,0,0,,
1800WK23081,MANPWPDT,"Miles Lane",53.572607,-2.703613,0,0,,
0610CH597,CHWMWDW,"Green Lane",53.1655312,-2.9186699,0,0,,
2500LAA15742,lanjtdgw,"Castletown Drive",53.694113584,-2.190403142,0,0,,
2800S41070B,merdgdat,"Winifred Drive",53.40492,-2.95224,0,0,,
0600CR255,CHEJMTW,"Peacock Hotel",53.068901,-2.496085,0,0,,
069000019080,wrgawma,"Black Swan",53.416563241,-2.455813816,0,0,,
1800NB02071,MANDJMAJ,"Strangeways",53.49153,-2.248139,0,0,,
0600CO19149,cheadmjd,"Lambert's Lane",53.154712,-2.201299,0,0,,
1800WA40271,MANPGMWM,"Brackley Lane",53.538012,-2.443751,0,0,,
090079580972,cumdmdpd,"Community Centre",54.25934771727161,-2.7062752887595547,0,0,,
5120AWF80689,flijdtd,"Boathouse Inn",53.215634065,-3.048592993,0,0,,
0610CH2435,CHWMPWD,"Lakewood",53.159982,-2.904721,0,0,,
250011915,lanagpwg,"Station Road",53.709936912,-2.325946936,0,0,,
1800NE49091,MANGDWTG,"Dearnley Avenue",53.64072,-2.11242,0,0,,
2590B0050,blpadawt,"Shaftesbury Avenue",53.838517981,-3.042379972,0,0,,
2500DCL5695,landmjmj,"Municipal Hall",53.855866604,-2.175417979,0,0,,
250013278,lanamadj,"Village Hall",53.861665915,-2.822887184,0,0,,
2800S16046B,mertwjdw,"Asda",53.45409,-2.74508,0,0,,
5140WDB47952,wremjmp,"Market Street B",53.046469287,-2.990153582,0,0,,
1800WA12861,MANPAGDP,"Smithills School",53.599362,-2.455961,0,0,,
1800ED11831,MANAMPTJ,"Diggle Day Nursery",53.56619,-1.998784,0,0,,
090079335304,cumgagmw,"Sports Field",54.2036635296204,-2.7358938916843614,0,0,,
3800C503601,stadpwjp,"Sandy Lane",53.020415599,-2.218889396,0,0,,
1800EH07301,MANAWJPW,"Lower Hey Lane",53.52572,-2.026281,0,0,,
2500IMG735,langjwtp,"Offices",53.86201547,-3.01860461,0,0,,
1800NE35601,MANGDMJG,"Heywood Library",53.59304,-2.218412,0,0,,
069000020910,wrgdapj,"Locker Avenue",53.41265979,-2.58883974,0,0,,
1800WA16651,MANPAWPA,"Haslam Park Primary School",53.5693,-2.457697,0,0,,
2500DCL3366,landjgad,"Parklands HS",53.654864202,-2.6437458,0,0,,
25001193,lanagtad,"Robin Street",53.769642392,-2.670307158,0,0,,
25004041,lanawgpm,"Lord Street",54.075768157,-2.860205979,0,0,,
2500B0541,lanjgdap,"Saltcotes Road",53.743765957,-2.944915824,0,0,,
2500GCS10081,landpajw,"Lane Ends",53.770333873,-2.727441274,0,0,,
1800WK12751,MANTPATA,"Leigh College",53.48838,-2.530568,0,0,,
3100Y770645,nldagjap,"Springfield Terrace",54.9751845,-2.3593616,0,0,,
2800S53022B,mergajdj,"Northern Perimeter Road",53.48918,-2.95929,0,0,,
0600CO183,CHEMGAG,"Salt Factory",53.173771,-2.425423,0,0,,
2500GCS10004,landmwdp,"Cottam Lane Surgery",53.76945224,-2.73932076,0,0,,
1800ED19811,MANATAMA,"Derwent Drive",53.54232,-2.14892,0,0,,
0610VR19208,chwadmjw,"Conway Avenue",53.1848927,-2.5382611,0,0,,
090079463676,cumdmagp,"Plough Inn",54.22447073424816,-2.6854332455647048,0,0,,
1800ED13211,MANAPADW,"Wall Hill Road",53.55424,-2.019479,0,0,,
1800EH37611,MANDGAWD,"Camborne Road",53.4516,-2.032185,0,0,,
2800S32002B,merawmwd,"Greenfield Kennels",53.39654,-3.14263,0,0,,
1800EH44231,MANDGTWP,"Ash Road",53.457257,-2.150597,0,0,,
2800S61023A,mergdpwj,"Clive Road",53.6238,-3.01709,0,0,,
2590B0101,blpadjad,"Boundary Court",53.835595969,-3.015227904,0,0,,
3890D049401,stoajptw,"Federation Road",53.049436836,-2.198569875,0,0,,
090033102495,cumapdma,"Cadelli",54.892215751785166,-2.932401868610171,0,0,,
1800SG36331,MANJGJPJ,"All Saints Church",53.38927,-2.0603,0,0,,
1800ED02141,MANAJTWG,"Broadway",53.546374,-2.146764,0,0,,
9400ZZMAPIC1,mantpjdw,"Piccadilly (Manchester Metrolink)",53.47713726629,-2.23060734085,0,0,940GZZMAPIC,
1800EHH1491,,"Lilly Street",53.441767,-2.067375,0,0,,
090002232226,cumadpjm,"Cemetery",54.72982209049373,-3.475545401381202,0,0,,
1800NC22281,MANDPTPA,"Arthur Lane",53.588713,-2.366783,0,0,,
090033102536,cumapdwa,"Henderson Road",54.87312640686237,-2.932600003034056,0,0,,
2500LAA00486,langwgwa,"Lichfield Road",53.771695938,-2.751422476,0,0,,
090002590278,cumajdta,"High Street",54.638900585737446,-3.538600346831543,0,0,,
1800EB08001,MANADWPA,"Annesley Road",53.51888,-2.16766,0,0,,
1800WK06261,MANPTPAW,"Marus Bridge Retail Park",53.52007,-2.651609,0,0,,
2590B0406,blpagdad,"Fishers Lane",53.781419142,-3.02046039,0,0,,
090002431471,cumagdtd,"Ashby Street",54.710584721656,-3.484703368431349,0,0,,
2800S20043A,merajwtw,"The Hawthornes",53.37004,-3.00483,0,0,,
3100Y785579,nldawpag,"Tarry Back",54.9160124,-2.335824,0,0,,
1800NE01821,MANDWDPD,"Fletton Close",53.63023,-2.16019,0,0,,
2800S20027B,merajwdp,"Irvine Road",53.37174,-3.03027,0,0,,
090074341266,cumdampd,"Sports and Social Club",54.472443291293395,-2.3485719514781183,0,0,,
1800SJ10611,MANJPTJA,"Fairbank House",53.38318,-2.352339,0,0,,
940GZZMATIM,,"Timperley (Manchester Metrolink)",53.40431613635,-2.33832999412,0,1,,
068000000621,halagapw,"Cunningham Drive",53.33367,-2.74825,0,0,,
250012477,lanajdpd,"Station Cottages",54.138958229,-2.612461606,0,0,,
090002220404,cumadmdj,"Main Street",54.66355666574205,-3.3659603146426287,0,0,,
0600MA0447,CHEPADW,"Shrigley Hall Hotel",53.310696,-2.08956,0,0,,
1800SG05431,MANJAGTW,"Pointing Dog",53.35941,-2.195547,0,0,,
1800WA42841,MANPGWMG,"Carter Street",53.56326,-2.418076,0,0,,
068000000646,halagdgm,"The Prospect",53.3243,-2.74477,0,0,,
090050163537,cumawdgd,"King William IV",54.21545506613708,-3.3196416205104162,0,0,,
2500IMG1221,landpmdp,"Whinfell Drive",54.025368903,-2.791480421,0,0,,
2800S31002B,merawjgt,"Bridge Road",53.37605,-3.18298,0,0,,
0600CR714,CHETADW,"36 Broad Lane",53.053007,-2.504988,0,0,,
2800S14013A,meragmtm,"St. James Road",53.4337,-2.79414,0,0,,
1800SJ02271,MANJPADJ,"Flixton Village",53.44474,-2.38421,0,0,,
2500614,lanawpmd,"Raikes Road",53.856018891,-2.864144461,0,0,,
1800WA19341,MANPDPGD,"Firwood Grove",53.59128,-2.412551,0,0,,
2500DCL3457,landjmpg,"Village Hall",53.611704453,-2.705484351,0,0,,
1800NE24121,MANGAJPA,"Holme House Street",53.66298,-2.083528,0,0,,
1800WF40921,MANPMAMW,"Cemetery Road South",53.51506,-2.345757,0,0,,
2500LAA00491,langwgwp,"Cedar Avenue",53.772209508,-2.7425707,0,0,,
2800S27066C,meratmtm,"Holly Avenue",53.34246,-3.01035,0,0,,
5110AWD71449,dbgamjd,"Tan-yr-unto",53.125100013,-3.272019065,0,0,,
2500IMG2733,langdtwa,"Park View Close",53.828871345,-2.231108789,0,0,,
2800S30013A,merawgmj,"Richmond Way",53.33707,-3.10112,0,0,,
1800SG06841,MANJAPGA,"Three Bears",53.371654,-2.141707,0,0,,
9400ZZMAEDY2,mantwdjg,"East Didsbury (Manchester Metrolink)",53.41209450409,-2.21725691834,0,0,940GZZMAEDY,
5120WDB22093,flijpwt,"Boar`s Head",53.192075899,-3.055905866,0,0,,
1800NF41461,MANGPDPW,"Northumberland Street",53.50821,-2.262033,0,0,,
068000000017,haladadw,"Eddison Road",53.34307,-2.71478,0,0,,
9400ZZMABAR1,mantwgpj,"Barlow Moor Road (Manchester Metrolink)",53.4328239636,-2.26924483809,0,0,940GZZMABAR,
1800ED19271,MANAPWJW,"Higginshaw Road",53.54558,-2.10625,0,0,,
1800NB09651,MANTPAGW,"Elvate Crescent",53.49819,-2.247756,0,0,,
0600MA0594,CHEPGJG,"Park Road",53.327102,-2.242346,0,0,,
2800S44008A,merdmdmw,"Stockbridge Lane",53.42257,-2.85916,0,0,,
2800S11010B,meradjwg,"Wilcock Road",53.47218,-2.6412,0,0,,
2800S23052B,merapdwd,"No. 69b",53.43696,-3.05565,0,0,,
2800S48020B,merdtjgj,"Barford Road",53.35589,-2.86424,0,0,,
2500IMG1549,landtjpt,"Farrington Road",53.69295705,-2.188550349,0,0,,
1800NF28101,MANGMAGA,"Lumber Lane",53.51111,-2.390766,0,0,,
2500IMG1975,landwmtg,"Brooklands Avenue",53.689534784,-2.32559236,0,0,,
2590B0229,blpadpmd,"Wellington Road Old Bridge",53.80422184,-3.051763368,0,0,,
1800SG38281,MANJGPWA,"Lapwing Lane",53.43292,-2.133768,0,0,,
0600MA6008,CHEGDMG,"Shops",53.259655,-2.161108,0,0,,
2800S48116B,,"Torrington Drive",53.3568,-2.8404,0,0,,
069000023440,wrgjata,"Morrisons",53.375204756,-2.583167046,0,0,,
9400ZZMAOMP2,mantpwgp,"Oldham Mumps (Manchester Metrolink)",53.54237330866,-2.10338969255,0,0,940GZZMAOMP,
1800NE07361,MANTGTGW,"Dale View",53.62965,-2.107308,0,0,,
2500IMG1036,landpdgm,"Manor Farm",53.614850473,-2.825576138,0,0,,
2500IMG2242,langamdj,"Bus Station",53.821962966,-2.405776837,0,0,,C
1800WK09781,MANPWGDW,"Holmwood Close",53.496471,-2.645793,0,0,,
1800EB07851,MANADWGW,"Langley Road",53.44541,-2.21812,0,0,,
0610VR0070,CHWGJPW,"Emmet Street",53.2724865,-2.5507876,0,0,,
1800EH05321,MANAWGDM,"Chester Square",53.483239,-2.104994,0,0,,
2800S50027B,merdtwtp,"Beech Road",53.40413,-2.83772,0,0,,
2500IMG1556,landtjtp,"Olive House",53.693861329,-2.201729949,0,0,,
2500IMG2180,langagwm,"Caernarvon Ave",53.796355555,-2.287980868,0,0,,
0610EP1158,CHWAJWD,"Strawberry Fields",53.2581739,-2.9221235,0,0,,
090079453503,cumdmadw,"The Red Lion",54.269485749087146,-3.0869488757798718,0,0,,
090002590202,cumajagp,"The Hollings",54.61506225307808,-3.5563924391724084,0,0,,
3800C597601,stadwjtg,"Vale View",53.039386903,-2.21658443,0,0,,
250011952,lanagtdj,"Rankin Avenue",53.70074867,-2.839783628,0,0,,
1800EH37671,MANDGDAD,"Underwood Road",53.45142,-2.040632,0,0,,
9400ZZBPRSB1,lanjtpaw,"Rossall Beach (Blackpool Tramway)",53.8875805097,-3.04032942588,0,0,940GZZBPRSB,
2590B0321,blpadwjd,"Hayfield Avenue",53.841994686,-3.032192203,0,0,,
2800S46065B,merdpgmp,"Aintree Road",53.45693,-2.97539,0,0,,
1800WK05921,MANPTMJG,"Paris Avenue",53.52296,-2.674113,0,0,,
2500IMG2634,langdmtw,"Reedley Road",53.819316367,-2.236129453,0,0,,
2500DCL559,landmdpg,"Lane Ends Hotel",53.792129862,-2.284779336,0,0,,
2580BRK0013,bladpwp,"Peter Street",53.755305131,-2.471517492,0,0,,
2500LAA17014,lanpdmdt,"St Marys Church",53.744105621,-2.389029454,0,0,,
1800NC20211,MANDPGMG,"Bury Town Hall",53.58922,-2.30012,0,0,,
2590B0217,blpadpgp,"Stronsay Place",53.858124995,-3.026340301,0,0,,
