LSOA_Code,LSOA Name,LADNM,stops_count,avg_departures_per_hour,median_departures_per_hour,pct_stops_lt1_per_hour,BusFreqBand,BusFreq_norm,BusFreqScore,LA_Name,LA_Code
E01012576,Blackburn with Darwen 008A,Blackburn with Darwen,5,6.733333333333334,6,0,High,0.8,6,Blackburn with Darwen,E06000008
E01012577,Blackburn with Darwen 003B,Blackburn with Darwen,3,1.9444444444444444,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012578,Blackburn with Darwen 003C,Blackburn with Darwen,4,1.625,1.5833333333333333,0,Low,0.9514285714285716,1.5833333333333333,Blackburn with Darwen,E06000008
E01012580,Blackburn with Darwen 004B,Blackburn with Darwen,2,1.9166666666666663,1.9166666666666663,0,Low,0.94,1.9166666666666663,Blackburn with Darwen,E06000008
E01012581,Blackburn with Darwen 002A,Blackburn with Darwen,2,1.6666666666666667,1.6666666666666667,0,Low,0.9485714285714286,1.6666666666666667,Blackburn with Darwen,E06000008
E01012582,Blackburn with Darwen 002B,Blackburn with Darwen,2,1.6666666666666667,1.6666666666666667,0,Low,0.9485714285714286,1.6666666666666667,Blackburn with Darwen,E06000008
E01012583,Blackburn with Darwen 002C,Blackburn with Darwen,3,1.6666666666666667,1.6666666666666667,0,Low,0.9485714285714286,1.6666666666666667,Blackburn with Darwen,E06000008
E01012584,Blackburn with Darwen 010A,Blackburn with Darwen,11,2.696969696969697,2.6666666666666665,0,Moderate,0.9142857142857144,2.6666666666666665,Blackburn with Darwen,E06000008
E01012585,Blackburn with Darwen 005A,Blackburn with Darwen,3,2.222222222222222,2.6666666666666665,0,Moderate,0.9142857142857144,2.6666666666666665,Blackburn with Darwen,E06000008
E01012586,Blackburn with Darwen 005B,Blackburn with Darwen,4,3,2.6666666666666665,0,Moderate,0.9142857142857144,2.6666666666666665,Blackburn with Darwen,E06000008
E01012587,Blackburn with Darwen 002D,Blackburn with Darwen,4,2.1666666666666665,1.6666666666666667,0,Low,0.9485714285714286,1.6666666666666667,Blackburn with Darwen,E06000008
E01012588,Blackburn with Darwen 002E,Blackburn with Darwen,2,2.8333333333333335,2.8333333333333335,0,Moderate,0.9085714285714288,2.8333333333333335,Blackburn with Darwen,E06000008
E01012589,Blackburn with Darwen 014A,Blackburn with Darwen,2,6.166666666666667,6.166666666666667,0,High,0.7942857142857143,6.166666666666667,Blackburn with Darwen,E06000008
E01012590,Blackburn with Darwen 014B,Blackburn with Darwen,8,4.6875,6,25,High,0.8,6,Blackburn with Darwen,E06000008
E01012591,Blackburn with Darwen 014C,Blackburn with Darwen,2,6,6,0,High,0.8,6,Blackburn with Darwen,E06000008
E01012592,Blackburn with Darwen 018A,Blackburn with Darwen,4,0.6666666666666666,0.6666666666666666,50,Desert,0.9828571428571428,0.6666666666666666,Blackburn with Darwen,E06000008
E01012593,Blackburn with Darwen 013A,Blackburn with Darwen,7,4.047619047619048,4,0,Good,0.8685714285714285,4,Blackburn with Darwen,E06000008
E01012594,Blackburn with Darwen 012A,Blackburn with Darwen,3,2,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012595,Blackburn with Darwen 009A,Blackburn with Darwen,7,6.976190476190475,8,14.285714285714285,High,0.7314285714285714,8,Blackburn with Darwen,E06000008
E01012596,Blackburn with Darwen 009B,Blackburn with Darwen,3,0.5555555555555555,0.5,100,Desert,0.9885714285714288,0.5,Blackburn with Darwen,E06000008
E01012597,Blackburn with Darwen 013B,Blackburn with Darwen,6,0.4166666666666667,0.4166666666666666,100,Desert,0.9914285714285714,0.4166666666666666,Blackburn with Darwen,E06000008
E01012598,Blackburn with Darwen 013C,Blackburn with Darwen,2,6.083333333333334,6.083333333333334,0,High,0.7971428571428572,6.083333333333334,Blackburn with Darwen,E06000008
E01012599,Blackburn with Darwen 013D,Blackburn with Darwen,5,6.166666666666667,6.166666666666667,0,High,0.7942857142857143,6.166666666666667,Blackburn with Darwen,E06000008
E01012600,Blackburn with Darwen 011A,Blackburn with Darwen,3,0.5,0.5,100,Desert,0.9885714285714288,0.5,Blackburn with Darwen,E06000008
E01012601,Blackburn with Darwen 011B,Blackburn with Darwen,6,0.5833333333333334,0.5833333333333333,100,Desert,0.9857142857142858,0.5833333333333333,Blackburn with Darwen,E06000008
E01012602,Blackburn with Darwen 011C,Blackburn with Darwen,5,0.4666666666666666,0.5,100,Desert,0.9885714285714288,0.5,Blackburn with Darwen,E06000008
E01012603,Blackburn with Darwen 011D,Blackburn with Darwen,11,0.5757575757575757,0.5,100,Desert,0.9885714285714288,0.5,Blackburn with Darwen,E06000008
E01012604,Blackburn with Darwen 011E,Blackburn with Darwen,7,1.5952380952380951,0.6666666666666666,85.71428571428571,Desert,0.9828571428571428,0.6666666666666666,Blackburn with Darwen,E06000008
E01012605,Blackburn with Darwen 003D,Blackburn with Darwen,3,1.3333333333333333,1.3333333333333333,0,Low,0.96,1.3333333333333333,Blackburn with Darwen,E06000008
E01012606,Blackburn with Darwen 003E,Blackburn with Darwen,2,1.3333333333333333,1.3333333333333333,0,Low,0.96,1.3333333333333333,Blackburn with Darwen,E06000008
E01012607,Blackburn with Darwen 001A,Blackburn with Darwen,9,1.4814814814814814,1.3333333333333333,0,Low,0.96,1.3333333333333333,Blackburn with Darwen,E06000008
E01012608,Blackburn with Darwen 001B,Blackburn with Darwen,6,1.972222222222222,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012609,Blackburn with Darwen 010B,Blackburn with Darwen,6,1.9166666666666667,1.9166666666666663,0,Low,0.94,1.9166666666666663,Blackburn with Darwen,E06000008
E01012610,Blackburn with Darwen 010C,Blackburn with Darwen,6,2.5833333333333335,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012611,Blackburn with Darwen 010D,Blackburn with Darwen,5,2.033333333333333,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012612,Blackburn with Darwen 010E,Blackburn with Darwen,3,2.0555555555555554,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012613,Blackburn with Darwen 010F,Blackburn with Darwen,5,1.9666666666666663,2,0,Moderate,0.9371428571428572,2,Blackburn with Darwen,E06000008
E01012615,Blackburn with Darwen 017B,Blackburn with Darwen,1,3,3,0,Moderate,0.9028571428571428,3,Blackburn with Darwen,E06000008
E01012616,Blackburn with Darwen 017C,Blackburn with Darwen,3,3,3,0,Moderate,0.9028571428571428,3,Blackburn with Darwen,E06000008
E01012617,Blackburn with Darwen 015A,Blackburn with Darwen,3,0.3333333333333333,0.3333333333333333,100,Desert,0.9942857142857144,0.3333333333333333,Blackburn with Darwen,E06000008
