stop_id,stop_name,stop_lat,stop_lon,LSOA11CD,LSOA11NM,LADNM,join_method,nearest_dist_m
2580HBK0011,St Wilfrids School,53.742235691,-2.492916094,E01012622,Blackburn with Darwen 009C,Blackburn with Darwen,within,
079073001Z,Bus Station Express Lounge,54.575998,-1.239184,,,,,
069000011820,Padgate Railway Station,53.406286772,-2.55701268,,,,,
1800NF31321,Nursery Street,53.49192,-2.291534,,,,,
25001239,Mount Pleasant,53.892553224,-2.355060675,E01025321,Ribble Valley 005A,Ribble Valley,within,
940GZZMAMKT,Market Street (Manchester Metrolink),53.48192108543,-2.23875536461,,,,,
1800NEH2851,Laburnum Way,53.64514,-2.111644,,,,,
1800WA18211,Heaton Road,53.571,-2.493262,,,,,
2500LA00026,Hospital Stop 3,53.666444977,-2.636309588,E01024937,Chorley 006F,Chorley,within,
2500LAA15738,Methodist Church,53.787690794,-2.215415673,E01024866,Burnley 008C,Burnley,within,
0610VR17914,Kingsway,53.190304,-2.5138438,,,,,
1800SG19141,George & Dragon,53.39514,-2.213441,,,,,
2800S30002B,Thingwall Road,53.35131,-3.11894,,,,,
3800C801401,Woodland Street,53.107485841,-2.174205459,,,,,
1800WK35371,Buck Street,53.49223,-2.52135,,,,,
1800WK23701,Woodfield School,53.563429,-2.631189,,,,,
1800WK23451,Norbreck Crescent,53.556087,-2.648881,,,,,
0600MA0195,Sandiway,53.302991,-2.364403,,,,,
2500IMG607,Lime Grove,53.871072707,-3.006170891,E01025576,Wyre 011D,Wyre,within,
1800SJ10661,The Springs,53.37764,-2.367836,,,,,
090079360921,Jenkin Rise,54.33267661948469,-2.7333060715396913,,,,,
1800WK07251,Thicknesse Avenue,53.559336,-2.655324,,,,,
2800S41122A,Back Canning Street,53.39901,-2.96862,,,,,
090079061864,Primary School,54.207789491369766,-2.7702957256769714,,,,,
069000014203,Railway Cottages,53.384877248,-2.68771519,,,,,
090002491791,Bus Shelter,54.8903567853809,-3.362353487389378,,,,,
1800WA17391,Birch Tree Way,53.5887,-2.522458,,,,,
1800EH41511,St Anne's Road,53.45585,-2.101101,,,,,
090002050615,Ravenstone Hotel,54.65778559663743,-3.1869683072884296,,,,,
1800EH44171,Forrest Road,53.44654,-2.095658,,,,,
1800SB33491,Mersey Bank Avenue,53.420721,-2.259724,,,,,
1800SB04591,The Red Beret,53.36983,-2.264008,,,,,
1800NEH5021,Scarfield Drive,53.622969,-2.209586,,,,,
9400ZZMAPIC2,Piccadilly (Manchester Metrolink),53.4770112836,-2.23068199204,,,,,
2800S40031C,Sprucewood Close,53.42433,-2.95387,,,,,
2800S60022A,Park Avenue,53.65618,-2.98432,,,,,
2590B0524,Arnold Avenue,53.78942414,-3.038156603,E01012702,Blackpool 019C,Blackpool,within,
1800WK37771,Lee Lane,53.51315,-2.595767,,,,,
2800S54013A,Wellington Street,53.47673,-3.03141,,,,,
2590B0190,Halford Place,53.863565821,-3.028100576,E01012717,Blackpool 002E,Blackpool,within,
1800WA00271,Aldred Street,53.55971,-2.456959,,,,,
2500IMG2558,Cowley Crescent,53.796170143,-2.297650009,E01024884,Burnley 004B,Burnley,within,
090050300139,Whittington Cat,54.54792323347163,-3.5881731712284894,,,,,
2800S47048A,Captains Lane,53.47358,-2.97812,,,,,
1800ED12561,Horest Lane,53.58437,-2.048042,,,,,
250013858,Caxton Road,53.797577591,-2.692447731,E01025303,Preston 004E,Preston,within,
090079613247,Settlebeck School,54.3234514267731,-2.521536963732154,,,,,
1800NC07481,Church Road,53.65737,-2.303464,,,,,
5120AWF80567,Elwy Close,53.171971986,-3.106338087,,,,,
0600CR285,The Crescent,53.06952,-2.515389,,,,,
2500LA00252,Ferndale,53.55493756,-2.769613905,E01025481,West Lancashire 010C,West Lancashire,within,
1800NE26851,Seascale Walk,53.55667,-2.207008,,,,,
069000011460,Northway,53.40890493,-2.593797221,,,,,
2500LAA07590,Holy Trinity Church,53.531773695,-2.838487538,E01025479,West Lancashire 008A,West Lancashire,within,
2590B0183,Ingthorpe Avenue,53.852485868,-3.03667662,E01012703,Blackpool 002B,Blackpool,within,
1800WK23081,Miles Lane,53.572607,-2.703613,,,,,
0610CH597,Green Lane,53.1655312,-2.9186699,,,,,
2500LAA15742,Castletown Drive,53.694113584,-2.190403142,E01025383,Rossendale 003F,Rossendale,within,
