LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile,LA_Name,Service_users_LSOA,GP_PT_walk_mins,GP_PT_15mins_perc,LA_Code,Total_Above 65,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation_x,Total_Disablities,Car or van availability (5 categories) Code,Car or van availability (5 categories),Observation_y
E01012603,,,,,Blackburn with Darwen,648.75106048584,5.96613261413641,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012604,,,,,Blackburn with Darwen,598.770233154297,9.3071284613147,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012605,,,,,Blackburn with Darwen,577.778282165527,3.72695500591143,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012606,,,,,Blackburn with Darwen,482.814727783203,5.44749475587816,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012607,,,,,Blackburn with Darwen,639.754501342773,11.6600626494633,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012608,,,,,Blackburn with Darwen,730.719589233398,7.1300956611113,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012609,,,,,Blackburn with Darwen,653.749137878418,17.2226293817807,17.8899075341838,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012610,,,,,Blackburn with Darwen,505.805885314941,18.4479650120242,0.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012611,,,,,Blackburn with Darwen,481.815116882324,17.6510580565686,59.3361010371233,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012612,,,,,Blackburn with Darwen,624.76025390625,14.811151933978,59.1999987885978,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012613,,,,,Blackburn with Darwen,557.785926818848,15.4346775261163,31.7204307031816,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012614,,,,,Blackburn with Darwen,672.741844177246,16.8366269720066,15.3046069434014,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012615,,,,,Blackburn with Darwen,747.713073730469,9.96118990147303,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012616,,,,,Blackburn with Darwen,760.708084106445,16.2028775203799,36.2680692220537,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012617,,,,,Blackburn with Darwen,601.769073486328,12.5003489011389,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012618,,,,,Blackburn with Darwen,646.751815795898,10.0470480207724,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012619,,,,,Blackburn with Darwen,553.78751373291,8.19126363414108,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012620,,,,,Blackburn with Darwen,638.7548828125,10.5297181405329,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012621,,,,,Blackburn with Darwen,624.760261535645,7.50907190980942,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012622,,,,,Blackburn with Darwen,779.700798034668,9.80865384733644,82.9487169689606,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012623,,,,,Blackburn with Darwen,635.756019592285,4.01674526702614,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012624,,,,,Blackburn with Darwen,714.725746154785,9.23279718587823,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012625,,,,,Blackburn with Darwen,773.703094482422,8.13631787276212,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012628,,,,,Blackburn with Darwen,496.809349060059,28.5068209408933,0.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012629,,,,,Blackburn with Darwen,478.816261291504,7.45432161729902,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
