LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile
E01025046,Hyndburn 005C E01025046,1,10,1
E01025075,Hyndburn 007B E01025075,2,10,4
E01025084,Hyndburn 006G E01025084,1,10,1
E01025083,Hyndburn 006F E01025083,1,10,3
E01025082,Hyndburn 006E E01025082,1,10,1
E01025036,Hyndburn 008B E01025036,1,10,2
E01025068,Hyndburn 004G E01025068,1,10,1
E01025057,Hyndburn 004C E01025057,2,10,6
E01025067,Hyndburn 004F E01025067,1,10,2
E01025058,Hyndburn 004D E01025058,2,10,4
E01025044,Hyndburn 005A E01025044,2,10,4
E01025035,Hyndburn 008A E01025035,2,10,4
E01025037,Hyndburn 008C E01025037,2,10,4
E01025039,Hyndburn 008E E01025039,4,10,8
E01025040,Hyndburn 008F E01025040,4,7,9
E01025038,Hyndburn 008D E01025038,3,10,8
E01025076,Hyndburn 007C E01025076,1,10,3
E01025056,Hyndburn 009B E01025056,5,10,8
E01025055,Hyndburn 007A E01025055,1,10,3
E01025077,Hyndburn 007D E01025077,1,10,3
E01025045,Hyndburn 005B E01025045,1,8,1
E01025081,Hyndburn 005D E01025081,4,8,7
E01025034,Hyndburn 002C E01025034,2,10,6
E01025059,Hyndburn 004E E01025059,1,10,3
E01025078,Hyndburn 007E E01025078,3,10,7
E01025033,Hyndburn 002B E01025033,3,4,6
E01025050,Hyndburn 002F E01025050,1,9,4
E01025049,Hyndburn 002E E01025049,1,10,2
E01025032,Hyndburn 002A E01025032,1,10,3
E01025048,Hyndburn 002D E01025048,3,7,7
E01025052,Hyndburn 004B E01025052,5,10,9
E01025051,Hyndburn 004A E01025051,1,3,3
E01025053,Hyndburn 002G E01025053,3,4,7
E01025069,Hyndburn 004H E01025069,2,10,3
E01025062,Hyndburn 001C E01025062,1,10,2
E01025066,Hyndburn 001G E01025066,3,10,8
E01025061,Hyndburn 001B E01025061,3,7,7
E01025065,Hyndburn 001F E01025065,2,10,5
E01025060,Hyndburn 001A E01025060,1,10,3
E01025063,Hyndburn 001D E01025063,2,9,3
E01025333,Ribble Valley 007C E01025333,6,6,9
E01025319,Ribble Valley 007B E01025319,10,1,9
E01025332,Ribble Valley 008C E01025332,9,10,10
E01025344,Ribble Valley 002B E01025344,5,10,6
E01025346,Ribble Valley 002D E01025346,9,10,8
E01025335,Ribble Valley 003C E01025335,2,10,4
E01025338,Ribble Valley 003D E01025338,5,10,6
E01025334,Ribble Valley 002A E01025334,5,9,7
E01025339,Ribble Valley 003E E01025339,7,7,6
E01025330,Ribble Valley 003B E01025330,4,9,6
E01025347,Ribble Valley 002E E01025347,6,9,8
E01025354,Ribble Valley 005E E01025354,10,2,10
E01025331,Ribble Valley 001C E01025331,7,1,9
E01025345,Ribble Valley 002C E01025345,8,9,10
E01025329,Ribble Valley 003A E01025329,5,9,5
E01025348,Ribble Valley 001D E01025348,9,3,9
E01025320,Ribble Valley 001B E01025320,7,1,9
E01025322,Ribble Valley 004A E01025322,8,1,9
E01025351,Ribble Valley 007E E01025351,8,2,9
E01025315,Ribble Valley 001A E01025315,9,1,9
E01025321,Ribble Valley 005A E01025321,5,10,8
E01025349,Ribble Valley 001E E01025349,9,2,9
E01025350,Ribble Valley 007D E01025350,9,7,8
E01025318,Ribble Valley 007A E01025318,8,6,8
E01025223,Pendle 005D E01025223,2,10,3
E01025206,Pendle 004B E01025206,3,10,7
E01025227,Pendle 007B E01025227,1,10,2
E01025207,Pendle 004C E01025207,2,10,2
